No	キーワード	SEO難易度	月間検索数	判定	検索意図	元トピック	ページID	ターゲットURL	ページタイトル案	振り分け理由
33	仲介手数料 交渉 言い方	35	140	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
34	仲介手数料 交渉 賃貸	46	40	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
35	仲介手数料 交渉 タイミング	N/A	70	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
36	仲介手数料 交渉 売買	46	30	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
37	仲介手数料 交渉できる	46	0	削除						
38	仲介手数料 交渉 中古マンション	N/A	10	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
39	仲介手数料 交渉 例文	34	210	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
40	仲介手数料 交渉 戸建て	28	10	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
41	仲介手数料 計算式	N/A	210	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
42	仲介手数料 計算方法	26	260	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
43	仲介手数料 計算 シミュレーション	29	260	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
44	仲介手数料 計算 賃貸	26	260	記事	Do（正確な金額を計算したい）	計算×テーマ複合	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「計算×テーマ複合」
45	仲介手数料 計算 消費税	25	70	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
46	仲介手数料 計算 不動産	30	1900	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
47	仲介手数料 計算 売買	47	30	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
48	仲介手数料 計算 土地	44	20	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
49	仲介手数料 計算式 エクセル	21	20	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
50	仲介手数料 上限 賃貸	25	1600	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
51	仲介手数料 上限 売買	46	40	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
52	仲介手数料 上限 法律	N/A	50	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
53	仲介手数料 上限引き上げ	44	40	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
54	仲介手数料 上限 計算	N/A	10	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
55	仲介手数料 上限 消費税	N/A	0	削除						
56	仲介手数料 上限以上	N/A	10	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
57	仲介手数料 上限 両手	41	0	削除						
58	仲介手数料 上限 共益費	N/A	0	削除						
59	仲介手数料無料 賃貸 東京	22	210	削除		地域KW				地域KW
60	仲介手数料無料 賃貸 大阪	21	210	削除		地域KW				地域KW
61	仲介手数料無料 賃貸 なぜ	26	70	記事	Know（賃貸で手数料を安くする方法を知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
62	仲介手数料無料 賃貸 サイト	N/A	40	記事	Know（賃貸で手数料を安くする方法を知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
63	仲介手数料無料 賃貸 不動産	23	70	記事	Know（賃貸で手数料を安くする方法を知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
64	仲介手数料無料 賃貸 line	N/A	0	削除						
65	仲介手数料無料 賃貸 神奈川	17	10	削除		地域KW				地域KW
66	仲介手数料無料 賃貸 千葉	21	10	削除		地域KW				地域KW
67	仲介手数料無料 賃貸 横浜	N/A	30	削除		地域KW				地域KW
68	仲介手数料 不動産 相場	29	2900	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
69	仲介手数料 不動産 賃貸	27	1600	記事	Know（賃貸の手数料ルールを知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
70	仲介手数料 不動産 安い	29	1900	記事	Buy（安い不動産会社を見つけたい）	安い不動産会社	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「安い不動産会社」
71	仲介手数料 不動産売買	31	3600	記事	Know（売買の手数料ルールを知りたい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
72	仲介手数料 不動産 計算	26	1900	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
73	仲介手数料 不動産 上限	46	40	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
74	仲介手数料 不動産 消費税	34	260	記事	Know（消費税がかかるか確認したい）	消費税解説	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「消費税解説」
75	仲介手数料 不動産屋	30	880	記事	Know（不動産取引の手数料全体を知りたい）	不動産の仲介手数料全般	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「不動産の仲介手数料全般」
76	仲介手数料 不動産 交渉	N/A	10	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
77	仲介手数料 勘定科目 20万円以上	29	110	記事	Do（仕訳・勘定科目を調べたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
78	仲介手数料 勘定科目 法人	33	40	記事	Do（仕訳・勘定科目を調べたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
79	仲介手数料 勘定科目 個人事業主	59	70	記事	Do（仕訳・勘定科目を調べたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
80	仲介手数料 勘定科目 賃貸	N/A	20	記事	Know（賃貸の手数料ルールを知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
81	仲介手数料 勘定科目 消費税	50	30	記事	Do（仕訳・勘定科目を調べたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
82	仲介手数料 勘定科目 不動産	33	0	削除						
83	仲介手数料 勘定科目 駐車場	N/A	0	削除						
84	仲介手数料 英語 不動産	45	10	削除		翻訳KW				翻訳KW
85	仲介手数料 英語 ビジネス	48	0	削除						
86	仲介手数料 賃貸 上限	25	1300	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
87	仲介手数料 賃貸 相場	36	1300	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
88	仲介手数料 賃貸 交渉	37	480	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
89	仲介手数料 賃貸 無料	23	1900	記事	Know（賃貸で手数料を安くする方法を知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
90	仲介手数料 賃貸 安い	37	210	記事	Know（賃貸で手数料を安くする方法を知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
91	仲介手数料 賃貸 法律	30	50	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
92	仲介手数料 賃貸 いくら	N/A	30	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
93	仲介手数料 賃貸 計算	25	260	記事	Do（正確な金額を計算したい）	計算×テーマ複合	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「計算×テーマ複合」
94	仲介手数料 賃貸 勘定科目	N/A	0	削除						
95	仲介手数料 消費税かかる	28	50	記事	Know（消費税がかかるか確認したい）	消費税解説	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「消費税解説」
96	仲介手数料 消費税 なぜ	N/A	0	削除						
97	仲介手数料 消費税 個別対応	N/A	0	削除						
98	仲介手数料 消費税 計算	29	70	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
99	仲介手数料 消費税 土地	35	210	記事	Know（消費税がかかるか確認したい）	消費税解説	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「消費税解説」
100	仲介手数料 消費税 建物	N/A	0	削除						
101	仲介手数料 消費税区分	28	10	記事	Know（消費税がかかるか確認したい）	消費税解説	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「消費税解説」
102	仲介手数料 消費税 土地建物	N/A	0	削除						
103	仲介手数料 消費税 簡易課税	N/A	0	削除						
104	仲介手数料 安い 不動産 賃貸	35	110	記事	Know（賃貸で手数料を安くする方法を知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
105	仲介手数料 安い 不動産屋	35	210	記事	Buy（安い不動産会社を見つけたい）	安い不動産会社	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「安い不動産会社」
106	仲介手数料 安い 不動産 大阪	27	30	削除		地域KW				地域KW
107	仲介手数料 安い 不動産 東京	41	70	削除		地域KW				地域KW
108	仲介手数料 安い 不動産 福岡	17	30	削除		地域KW				地域KW
109	仲介手数料 安い 不動産 購入	28	30	記事	Know（購入時の手数料を把握したい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
110	仲介手数料 0.5ヶ月	28	210	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
111	仲介手数料 0.55ヶ月	25	140	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
112	仲介手数料 0円	34	170	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
113	仲介手数料 0.5	25	70	記事	Know（具体的な金額・率の意味を知りたい）	その他（要確認）	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	その他 → article-04に振り分け
114	仲介手数料 0.55ヶ月 法律	41	20	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
115	仲介手数料 0.55	31	50	記事	Know（具体的な金額・率の意味を知りたい）	その他（要確認）	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	その他 → article-04に振り分け
116	仲介手数料 0	22	110	記事	Know（具体的な金額・率の意味を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
117	仲介手数料 0円 なぜ	25	30	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
118	仲介手数料 0.5ヶ月 交渉	45	50	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
119	仲介手数料 0.5か月	N/A	10	記事	Know（具体的な金額・率の意味を知りたい）	その他（要確認）	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	その他 → article-04に振り分け
120	仲介手数料 1ヶ月	34	140	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
121	仲介手数料 1ヶ月 違法	34	1300	記事	Know（請求された金額が違法でないか確認したい）	違法性の解説	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「違法性の解説」
122	仲介手数料 1ヶ月分	45	70	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
123	仲介手数料 1.1	42	50	記事	Know（具体的な金額・率の意味を知りたい）	その他（要確認）	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	その他 → article-04に振り分け
124	仲介手数料 1.1ヶ月とは	N/A	0	削除						
125	仲介手数料 1.1ヶ月 交渉	50	10	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
126	仲介手数料 1ヶ月分 拒否	N/A	0	削除						
127	仲介手数料 1000万円以下	27	30	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
128	仲介手数料 1.1ヶ月	35	480	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
129	仲介手数料 1.1ヶ月 違法	48	40	記事	Know（請求された金額が違法でないか確認したい）	違法性の解説	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「違法性の解説」
130	仲介手数料 20万円以上	32	50	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
131	仲介手数料 200万円以下	46	90	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
132	仲介手数料 2ヶ月	27	10	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
133	仲介手数料 2ヶ月分	25	20	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
134	仲介手数料 2000万円	29	0	削除						
135	仲介手数料 2社	24	20	記事	Know（具体的な金額・率の意味を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
136	仲介手数料 2	30	10	記事	Know（具体的な金額・率の意味を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
137	仲介手数料 200万円	N/A	10	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
138	仲介手数料 200万円以下 改正	N/A	0	削除						
139	仲介手数料 2重	19	0	削除						
140	仲介手数料 33万円	23	260	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
141	仲介手数料 3	45	70	記事	Know（具体的な金額・率の意味を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
142	仲介手数料 30万円	26	110	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
143	仲介手数料 3 税込	28	0	削除						
144	仲介手数料 3.3	23	30	記事	Know（具体的な金額・率の意味を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
145	仲介手数料 3パーセント	42	70	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
146	仲介手数料 300万円	N/A	20	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
147	仲介手数料 3000万	N/A	0	削除						
148	仲介手数料 3 以上	30	0	削除						
149	仲介手数料 33万円 土地	N/A	0	削除						
150	仲介手数料 4	42	10	記事	Know（具体的な金額・率の意味を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
151	仲介手数料 400万円以下	28	70	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
152	仲介手数料 400万円	44	20	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
153	仲介手数料 4000万	40	0	削除						
154	仲介手数料 400万円以下 計算	31	70	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
155	仲介手数料 450万円	N/A	0	削除						
156	仲介手数料 400万円以下 改正	35	320	記事	Know（法改正が自分に影響するか知りたい）	法改正解説	article-13	/tools/brokerage/reform-2024	2024年仲介手数料の法改正	トピック「法改正解説」
157	仲介手数料 400万円以上	29	10	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
158	仲介手数料 4万	N/A	0	削除						
159	仲介手数料 4パーセント	N/A	10	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
160	仲介手数料 500万円以下	27	50	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
161	仲介手数料 50パーセント	43	40	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
162	仲介手数料 50	41	30	記事	Know（具体的な金額・率の意味を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
163	仲介手数料 500万円	28	10	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
164	仲介手数料 5000万	N/A	0	削除						
165	仲介手数料 55	24	20	記事	Know（具体的な金額・率の意味を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
166	仲介手数料 5	43	10	記事	Know（具体的な金額・率の意味を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
167	仲介手数料 5万	31	0	削除						
168	仲介手数料 5割	N/A	0	削除						
169	仲介手数料 55パーセント	N/A	30	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
170	仲介手数料 6万円	23	70	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
171	仲介手数料 6万とは	N/A	20	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
172	仲介手数料 6万円 なぜ	24	10	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
173	仲介手数料 6パーセント	23	30	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
174	仲介手数料 600万円	26	0	削除						
175	仲介手数料 6	N/A	20	記事	Know（具体的な金額・率の意味を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
176	仲介手数料 6万円 意味	20	10	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
177	仲介手数料 6万円 根拠	30	30	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
178	仲介手数料 7万	41	20	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
179	仲介手数料 700万円	23	0	削除						
