No	Step	カテゴリ（悩み）	対象キーワード（ツール名）	公開ステータス	重複	狙いたいキーワード	KD難易度	ラッコでの月間検索回数	1位	DR	種別	2位	DR	種別	3位	DR	種別	4位	DR	種別	5位	DR	種別	6位	DR	種別	7位	DR	種別	8位	DR	種別	9位	DR	種別	10位	DR	種別
29	Step 2：運営・節税（保有）		法人税	/tools/corporate-tax		法人税 計算	3	4400	AI Overview	-	-	https://keiei-support-plus-a.com/zeirishi-hiyou/houjinn_zei-keisann-simulation	54	Tool > Calculator	PAA	-	-	https://biz.moneyforward.com/accounting/basic/65605/	84	Article > Definition	https://www.mizuhobank.co.jp/corporate/account/tips/topic_101.html	81	-	https://www.nta.go.jp/taxes/shiraberu/taxanswer/hojin/5759.htm	92	-	https://ma-la.co.jp/m-and-a/corporate-tax-calculation/	20	-	https://smlt.jp/houjinzei_s/	34	Tool > Calculator	https://www.obc.co.jp/360/list/post83	76	Article > Guide	https://bakuraku.jp/knowledge/knowledge-accounting/corporate-income-tax/	59	-
30	Step 2：運営・節税（保有）		所得税・住民税（個人）	準備中		所得税 計算	24	110000	AI Overview	-	-	https://www.nta.go.jp/taxes/shiraberu/taxanswer/shotoku/2260.htm	92	-	https://www.cr.mufg.jp/mycard/beginner/23081/	86	-	https://keisan.casio.jp/exec/system/1527476109	80	-	PAA	-	-	https://www.nta.go.jp/publication/pamph/gensen/zeigakuhyo2024/data/01-07.pdf	92	-	https://takasho.net/style-plus/column/010-2/	22	Article > Guide	https://www.mmea.biz/simulation/calculation/	48	Tool > Calculator	https://www.mof.go.jp/tax_policy/summary/income/b01.htm	86	-	https://www.jili.or.jp/lifeplan/lifesecurity/1125.html	78	Article > How-to
31	Step 2：運営・節税（保有）		個人事業税	準備中		個人事業税 計算	3	1900	AI Overview	-	-	https://keiei-support-plus-a.com/kaisha-setsuritsu/kojin-jigyou-zei-keisan-simulation/	54	-	https://biz.moneyforward.com/tax_return/basic/50562/	84	Article > Definition	PAA	-	-	https://www.tax.metro.tokyo.lg.jp/kazei/work/kojin_ji	91	-	https://shop.gyosei.jp/online/archives/cat01/0000118876	71	-	https://www.freee.co.jp/kb/kb-kaigyou/personal-business-tax/	82	-	https://www.jcb.co.jp/corporate/special/individual_enterprise_tax.html	82	Article > How-to	https://www.pref.ishikawa.lg.jp/zei/qa/a5.html	81	FAQ	https://www.yayoi-kk.co.jp/shinkoku/oyakudachi/simulation/	77	Article > Guide
32	Step 3：出口・売却	売却手取りを知る	売却手取り	/tools/sale-proceeds		不動産 売却 税金 シミュレーション／不動産 売却 手取り	0	1000／70	https://smlt.jp/jotoshotokuzei/	34	Tool > Calculator	https://askpro.co.jp/fudousan/simulation/	51	Tool > Calculator	AI Overview	-	-	PAA	-	-	https://sumstock.jp/labo/property-sales-tax/	46	-	https://maruishi-tax.jp/column/column400/	33	-	https://www.nta.go.jp/publication/pamph/koho/kurashi/html/05_3.htm	92	-	https://www.kentaku.co.jp/estate/navi/column02/post_386.html	71	Article > Guide	https://www.baikyaku.polusnet.com/column/detail.php?n=555	30	-	https://chester-tax.com/encyclopedia/15535.html	55	Article > Guide
33	Step 3：出口・売却	売却税金・費用	譲渡所得税	/tools/capital-gains-tax		譲渡所得税 計算	5	1300	https://www.nta.go.jp/taxes/shiraberu/taxanswer/joto/3202.htm	92	FAQ	https://mtax-re.com/contents/譲渡所得税の計算方法を教えてください	0	Article > FAQ	AI Overview	-	-	https://smlt.jp/jotoshotokuzei/	34	Tool > Calculator	PAA	-	-	https://legacy.ne.jp/knowledge/before/setsuzei-taisaku/jyoutozei-keisanhouhou-2/	50	-	https://hosoe-tax.com/news/column/column_zeimu/article/20250624-2/	26	Article > How-to	https://maruishi-tax.jp/column/column016/	33	-	https://www.kzei.or.jp/contents/startup/cat1/2012/10/29-2104.html	64	Article > Guide	https://www.nta.go.jp/publication/pamph/koho/kurashi/html/05_3.htm	92	-
34	Step 3：出口・売却		仲介手数料（※Step1と同一ページ）	/tools/brokerage	重複
35	Step 3：出口・売却		印紙税（※Step1と同一ページ）	/tools/stamp-tax	重複
36	Step 3：出口・売却	資産承継	贈与税	/tools/gift-tax		贈与税 計算	1	8100	https://www.nta.go.jp/taxes/shiraberu/taxanswer/zoyo/4408.htm	92	Article > How-to	https://souzoku-zouyo.com/estimate_zouyo.html	26	Tool > Calculator	PAA	-	-	https://smlt.jp/zouyozei/	34	Tool > Calculator	https://shop.gyosei.jp/online/archives/cat01/0000124864	71	-	https://www.souzoku.law/info/zouyo-keisan/	49	-	https://www.funabashi-zeirishi.kokoro.group/info/zouyozei-keisan/	44	-	https://keisan.casio.jp/exec/system/1385714186	80	-	https://chester-tax.com/encyclopedia/15313.html	55	-	https://www.tkc.jp/souzoku/tax/zoyo2	79	-
37	Step 3：出口・売却		相続税	/tools/inheritance-tax		相続税 計算	11	33100	AI Overview	-	-	https://chester-tax.com/mitsumori2.html	55	Tool > Calculator	https://www.resonabank.co.jp/kojin/column/shoukei/column_0012.html	77	Article > Guide	PAA	-	-	https://www.sbishinseibank.co.jp/retail/succession/simulation/	74	Tool > Calculator	https://www.orixbank.co.jp/column/article/351/	68	-	https://souzoku.asahi.com/tax-calculation	90	Article > Guide	https://www.gov-online.go.jp/article/202407/entry-6250.html	87	Article > Guide	https://www.smtb.jp/personal/column/life-event-column/column_17	80	-	https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4152.htm	92	Article > How-to
-	別枠	総合シミュレーター	賃貸経営シミュレーター	/tools/simulator		不動産投資 シミュレーション	7	880	https://www.rals.co.jp/invest/info.htm	61	-	https://keisan.casio.jp/exec/user/1539508528	80	-	https://www.mizuho-re.co.jp/knowledge/investorssimulation/	47	-	https://www.nomu.com/pro/cashflow/	65	Tool > Calculator	PAA	-	-	https://ls1.odakyu-chukai.com/media/article/344	50	Article > Guide	https://www.orixbank.co.jp/personal/house/simulation.html	68	-	https://www.rakumachi.jp/property/investment_simulator	74	Tool > Calculator	https://investment.mogecheck.jp/media/importance-of-simulation-in-real-estate-investment	59	-	https://vertex-c.co.jp/column/article/74	38	Article
