No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
19	＋＋	マンション 表面利回りとは	N/A	0	削除			検索なし			対象外	不要	
20	＋＋	国債 表面利回りとは	N/A	0	削除			検索なし			対象外	不要	
21	＋＋	収益物件 表面利回りとは	N/A	10	記事	Know（表面利回りの意味を理解したい）	解説記事	基礎解説	表面利回り基礎解説	表面利回りとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
22	＋＋	アパート 表面利回りとは	N/A	0	削除			検索なし			対象外	不要	
23	＋＋	表面利回り 計算式	N/A	30	計算ページ	Do（正確な利回りを計算したい）	計算ツール		表面利回り計算	表面利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
24	＋＋	表面利回り 計算 シュミレーション	N/A	20	計算ページ	Do（正確な利回りを計算したい）	計算ツール		表面利回り計算	表面利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
25	＋＋	表面利回り 計算 消費税	N/A	0	削除			検索なし			対象外	不要	
26	＋＋	表面利回り 実質利回り 目安	N/A	30	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	表面利回り_表面vs実質比較	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
27	＋＋	表面利回り 実質利回り 英語	N/A	0	削除			検索なし			対象外	不要	
28	＋＋	表面利回り 実質利回り計算	N/A	20	計算ページ	Do（正確な利回りを計算したい）	計算ツール		表面利回り計算	表面利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
29	＋＋	表面利回り 実質利回り相場	N/A	20	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	表面利回り_表面vs実質比較	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
30	＋＋	表面利回り 理想 マンション	N/A	0	削除			検索なし			対象外	不要	
31	＋＋	不動産投資 表面利回り 理想	N/A	0	削除			検索なし			対象外	不要	
32	＋＋	不動産 表面利回り 理想	N/A	0	削除			検索なし			対象外	不要	
33	＋＋	不動産投資 表面利回り 目安	46	50	記事	Know（利回りの目安を知りたい）	ガイド記事	目安・相場	表面利回り_目安・相場	表面利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
34	＋＋	不動産 表面利回り 目安	55	40	記事	Know（利回りの目安を知りたい）	ガイド記事	目安・相場	表面利回り_目安・相場	表面利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
35	＋＋	アパート 表面利回り 目安	N/A	20	記事	Know（利回りの目安を知りたい）	ガイド記事	目安・相場	表面利回り_目安・相場	表面利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
36	＋＋	賃貸 表面利回り 目安	N/A	0	削除			検索なし			対象外	不要	
37	＋＋	マンション 表面利回り 目安	N/A	0	削除			検索なし			対象外	不要	
38	＋＋	収益物件 表面利回り 目安	N/A	0	削除			検索なし			対象外	不要	
39	＋＋	不動産 表面利回り 英語	N/A	0	削除			検索なし			対象外	不要	
40	＋＋	表面利回り 実質利回り 計算方法	N/A	0	削除			検索なし			対象外	不要	
41	＋＋	不動産 表面利回り 計算方法	30	20	計算ページ	Do（正確な利回りを計算したい）	計算ツール		表面利回り計算	表面利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
42	＋＋	表面利回り 不動産 計算	N/A	0	削除			検索なし			対象外	不要	
43	＋＋	表面利回り 不動産 相場	N/A	0	削除			検索なし			対象外	不要	
44	＋＋	表面利回り 不動産投資	N/A	70	記事	Know（不動産投資の利回りを知りたい）	解説記事	不動産投資	表面利回り_不動産投資	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
45	＋＋	表面利回り 不動産 目安	N/A	0	削除			検索なし			対象外	不要	
46	＋＋	不動産 表面利回り とは	50	40	記事	Know（表面利回りの意味を理解したい）	解説記事	基礎解説	表面利回り基礎解説	表面利回りとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
47	＋＋	不動産 表面利回り 実質利回り	N/A	20	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	表面利回り_表面vs実質比較	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
48	＋＋	不動産投資 表面利回り 計算	50	0	削除			検索なし			対象外	不要	
49	＋α	表面利回り 10	N/A	20	記事	Know（表面利回りの具体例を知りたい）	ガイド記事	具体例・ケース	表面利回り_具体例・ケース		権威構築	補足	
50	＋α	表面利回り 15	N/A	0	削除			検索なし			対象外	不要	
51	＋α	表面利回り 10パーセント	N/A	0	削除			検索なし			対象外	不要	
52	＋α	表面利回り 12	N/A	0	削除			検索なし			対象外	不要	
53	＋α	表面利回り 20	N/A	0	削除			検索なし			対象外	不要	
54	＋α	表面利回り 3パーセント	N/A	0	削除			検索なし			対象外	不要	
55	＋α	表面利回り 3	N/A	0	削除			検索なし			対象外	不要	
56	＋α	表面利回り 30	N/A	0	削除			検索なし			対象外	不要	
57	＋α	表面利回り 3.5	N/A	0	削除			検索なし			対象外	不要	
58	＋α	表面利回り 4パーセント	N/A	0	削除			検索なし			対象外	不要	
59	＋α	表面利回り 4	N/A	10	記事	Know（表面利回りの具体例を知りたい）	ガイド記事	具体例・ケース	表面利回り_具体例・ケース		権威構築	補足	
60	＋α	表面利回り 5	N/A	10	記事	Know（表面利回りの具体例を知りたい）	ガイド記事	具体例・ケース	表面利回り_具体例・ケース		権威構築	補足	
61	＋α	表面利回り 5パーセント	N/A	40	記事	Know（表面利回りの具体例を知りたい）	ガイド記事	具体例・ケース	表面利回り_具体例・ケース		権威構築	補足	
62	＋α	表面利回り 6	N/A	20	記事	Know（表面利回りの具体例を知りたい）	ガイド記事	具体例・ケース	表面利回り_具体例・ケース		権威構築	補足	
63	＋α	表面利回り 6パーセント	N/A	0	削除			検索なし			対象外	不要	
64	＋α	表面利回り 7パーセント	N/A	0	削除			検索なし			対象外	不要	
65	＋α	表面利回り 7	N/A	10	記事	Know（表面利回りの具体例を知りたい）	ガイド記事	具体例・ケース	表面利回り_具体例・ケース		権威構築	補足	
66	＋α	表面利回り 8	N/A	10	記事	Know（表面利回りの具体例を知りたい）	ガイド記事	具体例・ケース	表面利回り_具体例・ケース		権威構築	補足	
67	＋α	表面利回り 8パーセント	N/A	0	削除			検索なし			対象外	不要	
68	＋α	表面利回り 9	N/A	10	記事	Know（表面利回りの具体例を知りたい）	ガイド記事	具体例・ケース	表面利回り_具体例・ケース		権威構築	補足	
69	＋α	表面利回り アパート	N/A	0	削除			検索なし			対象外	不要	
70	＋α	表面利回り 啓さん	N/A	0	削除			検索なし			対象外	不要	
71	＋α	表面利回り アルファベット	N/A	0	削除			検索なし			対象外	不要	
72	＋α	表面利回り 意味ない	N/A	0	削除			検索なし			対象外	不要	
73	＋α	表面利回り 意味	N/A	10	記事	Know（表面利回りの意味を理解したい）	解説記事	基礎解説	表面利回り基礎解説	表面利回りとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
74	＋α	表面利回り 言い換え	N/A	0	削除			検索なし			対象外	不要	
75	＋α	表面利回り irr	N/A	0	削除			検索なし			対象外	不要	
76	＋α	表面利回り 応募者利回り	N/A	0	削除			検索なし			対象外	不要	
77	＋α	表面利回り 大阪	N/A	0	削除			検索なし			対象外	不要	
78	＋α	国債 表面利回り 応募者利回り	N/A	0	削除			検索なし			対象外	不要	
79	＋α	オーナーチェンジ 表面利回り	N/A	10	記事	Know（表面利回りの概要を知りたい）	解説記事	基礎解説	表面利回り_基礎解説	表面利回りの基礎知識まとめ	権威構築	必須	ピラーページ
80	＋α	オーナーチェンジ物件 表面利回り	N/A	0	削除			検索なし			対象外	不要	
81	＋α	表面利回り 管理費	N/A	20	記事	Know（表面利回りの概要を知りたい）	解説記事	基礎解説	表面利回り_基礎解説	表面利回りの基礎知識まとめ	権威構築	必須	ピラーページ
82	＋α	表面利回り 還元利回り	N/A	0	削除			検索なし			対象外	不要	
83	＋α	表面利回り 回収	N/A	0	削除			検索なし			対象外	不要	
84	＋α	表面利回り 計算 管理費	N/A	0	削除			検索なし			対象外	不要	
85	＋α	還元利回り 表面利回り 違い	N/A	10	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	表面利回り_表面vs実質比較	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
86	＋α	capレート 表面利回り	N/A	0	削除			検索なし			対象外	不要	
87	＋α	表面利回り 共益費	N/A	10	記事	Know（表面利回りの概要を知りたい）	解説記事	基礎解説	表面利回り_基礎解説	表面利回りの基礎知識まとめ	権威構築	必須	ピラーページ
88	＋α	表面利回り 基準	N/A	0	削除			検索なし			対象外	不要	
89	＋α	表面利回り 共益費含む	N/A	0	削除			検索なし			対象外	不要	
90	＋α	表面利回り 金利	N/A	0	削除			検索なし			対象外	不要	
91	＋α	表面利回り キャップレート	N/A	0	削除			検索なし			対象外	不要	
92	＋α	表面利回り 計算 共益費	N/A	0	削除			検索なし			対象外	不要	
93	＋α	期待利回り 表面利回り 違い	N/A	20	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	表面利回り_表面vs実質比較	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
94	＋α	期待利回り 表面利回り	N/A	0	削除			検索なし			対象外	不要	
95	＋α	キャップレート 表面利回り 違い	N/A	0	削除			検索なし			対象外	不要	
96	＋α	区分マンション 表面利回り	28	0	削除			検索なし			対象外	不要	
97	＋α	表面利回り 国債	N/A	0	削除			検索なし			対象外	不要	
98	＋α	表面利回り 固定資産税	N/A	0	削除			検索なし			対象外	不要	
99	＋α	戸建て 表面利回り	N/A	0	削除			検索なし			対象外	不要	
100	＋α	表面利回り 債券	N/A	0	削除			検索なし			対象外	不要	
101	＋α	表面利回り サブリース	N/A	0	削除			検索なし			対象外	不要	
102	＋α	表面利回り 最終利回り	N/A	0	削除			検索なし			対象外	不要	
103	＋α	表面利回り 最低	N/A	0	削除			検索なし			対象外	不要	
104	＋α	不動産投資 表面利回り 最低ライン	46	10	記事	Know（不動産投資の利回りを知りたい）	解説記事	不動産投資	表面利回り_不動産投資	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
105	＋α	実質利回り 表面利回り 差	N/A	0	削除			検索なし			対象外	不要	
106	＋α	債券 表面利回り	N/A	0	削除			検索なし			対象外	不要	
107	＋α	表面利回り 消費税	N/A	20	記事	Know（表面利回りの概要を知りたい）	解説記事	基礎解説	表面利回り_基礎解説	表面利回りの基礎知識まとめ	権威構築	必須	ピラーページ
108	＋α	表面利回り 新築	N/A	0	削除			検索なし			対象外	不要	
109	＋α	表面利回り 式	N/A	0	削除			検索なし			対象外	不要	
110	＋α	表面利回り シュミレーション	N/A	0	削除			検索なし			対象外	不要	
111	＋α	表面利回り 諸経費	N/A	0	削除			検索なし			対象外	不要	
112	＋α	不動産 表面利回り 消費税	N/A	0	削除			検索なし			対象外	不要	
113	＋α	収益物件 表面利回り	33	10	記事	Know（不動産投資の利回りを知りたい）	解説記事	不動産投資	表面利回り_不動産投資	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
114	＋α	新築アパート 表面利回り	N/A	0	削除			検索なし			対象外	不要	
115	＋α	新築マンション 表面利回り	N/A	0	削除			検索なし			対象外	不要	
116	＋α	表面利回り 推移	N/A	0	削除			検索なし			対象外	不要	
117	＋α	表面利回り 相場	N/A	40	記事	Know（利回りの目安を知りたい）	ガイド記事	目安・相場	表面利回り_目安・相場	表面利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
118	＋α	表面利回り 想定利回り 違い	N/A	10	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	表面利回り_表面vs実質比較	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
119	＋α	表面利回り 想定利回り	N/A	10	記事	Know（表面利回りの概要を知りたい）	解説記事	基礎解説	表面利回り_基礎解説	表面利回りの基礎知識まとめ	権威構築	必須	ピラーページ
120	＋α	表面利回り 空室	N/A	0	削除			検索なし			対象外	不要	
121	＋α	表面利回り 粗利	N/A	0	削除			検索なし			対象外	不要	
122	＋α	マンション 表面利回り 相場	N/A	20	記事	Know（利回りの目安を知りたい）	ガイド記事	目安・相場	表面利回り_目安・相場	表面利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
123	＋α	不動産 表面利回り 相場	75	10	記事	Know（利回りの目安を知りたい）	ガイド記事	目安・相場	表面利回り_目安・相場	表面利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
124	＋α	不動産投資 表面利回り 相場	N/A	0	削除			検索なし			対象外	不要	
125	＋α	表面利回り 高い 低い	N/A	0	削除			検索なし			対象外	不要	
126	＋α	表面利回り 高い	N/A	0	削除			検索なし			対象外	不要	
127	＋α	表面利回り 太陽光	N/A	10	記事	Know（表面利回りの概要を知りたい）	解説記事	基礎解説	表面利回り_基礎解説	表面利回りの基礎知識まとめ	権威構築	必須	ピラーページ
128	＋α	表面利回り 対義語	N/A	0	削除			検索なし			対象外	不要	
129	＋α	単純利回り 表面利回り	N/A	0	削除			検索なし			対象外	不要	
130	＋α	タワマン 表面利回り	N/A	0	削除			検索なし			対象外	不要	
131	＋α	太陽光発電 表面利回り	N/A	10	記事	Know（表面利回りの概要を知りたい）	解説記事	基礎解説	表面利回り_基礎解説	表面利回りの基礎知識まとめ	権威構築	必須	ピラーページ
132	＋α	表面利回り 賃貸	N/A	0	削除			検索なし			対象外	不要	
133	＋α	表面利回り 駐車場	N/A	0	削除			検索なし			対象外	不要	
134	＋α	表面利回り 築年数	N/A	0	削除			検索なし			対象外	不要	
135	＋α	表面利回り 中文	N/A	0	削除			検索なし			対象外	不要	
136	＋α	表面利回り 直接利回り	N/A	0	削除			検索なし			対象外	不要	
137	＋α	想定利回り 表面利回り 違い	N/A	0	削除			検索なし			対象外	不要	
138	＋α	利回り 表面利回り 違い	N/A	0	削除			検索なし			対象外	不要	
139	＋α	月極駐車場 表面利回り	N/A	0	削除			検索なし			対象外	不要	
140	＋α	積立 表面利回り 実質利回り	N/A	0	削除			検索なし			対象外	不要	
141	＋α	テナント 表面利回り	N/A	0	削除			検索なし			対象外	不要	
142	＋α	表面利回り 東京	N/A	0	削除			検索なし			対象外	不要	
143	＋α	表面利回り 都内	N/A	0	削除			検索なし			対象外	不要	
144	＋α	表面利回り 土地	N/A	0	削除			検索なし			対象外	不要	
145	＋α	表面利回り 都心	N/A	0	削除			検索なし			対象外	不要	
146	＋α	表面利回り 何パーセント	N/A	0	削除			検索なし			対象外	不要	
147	＋α	表面利回り 何	N/A	0	削除			検索なし			対象外	不要	
148	＋α	表面利回り ネット利回り	N/A	20	記事	Know（表面利回りの概要を知りたい）	解説記事	基礎解説	表面利回り_基礎解説	表面利回りの基礎知識まとめ	権威構築	必須	ピラーページ
149	＋α	表面利回りnet	N/A	0	削除			検索なし			対象外	不要	
150	＋α	表面利回り ネット	N/A	0	削除			検索なし			対象外	不要	
151	＋α	表面利回り ネット利回り 違い	N/A	0	削除			検索なし			対象外	不要	
152	＋α	不動産 表面利回り ネット グロス	N/A	0	削除			検索なし			対象外	不要	
153	＋α	net利回り 表面利回り	N/A	0	削除			検索なし			対象外	不要	
154	＋α	表面利回り noi利回り	N/A	0	削除			検索なし			対象外	不要	
155	＋α	表面利回り noi	N/A	10	記事	Know（表面利回りの概要を知りたい）	解説記事	基礎解説	表面利回り_基礎解説	表面利回りの基礎知識まとめ	権威構築	必須	ピラーページ
156	＋α	表面利回り noi利回り 違い	N/A	0	削除			検索なし			対象外	不要	
157	＋α	表面利回り 配当利回り	N/A	0	削除			検索なし			対象外	不要	
158	＋α	表面利回り 反対	N/A	0	削除			検索なし			対象外	不要	
159	＋α	表面利回り 低い	N/A	0	削除			検索なし			対象外	不要	
160	＋α	表面利回り 平均	N/A	10	記事	Know（利回りの目安を知りたい）	ガイド記事	目安・相場	表面利回り_目安・相場	表面利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
161	＋α	不動産 表面利回り 平均	75	10	記事	Know（利回りの目安を知りたい）	ガイド記事	目安・相場	表面利回り_目安・相場	表面利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
162	＋α	不動産投資 表面利回り 平均	N/A	10	記事	Know（利回りの目安を知りたい）	ガイド記事	目安・相場	表面利回り_目安・相場	表面利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
163	＋α	アパート 表面利回り 平均	N/A	0	削除			検索なし			対象外	不要	
164	＋α	ホテル 表面利回り	N/A	0	削除			検索なし			対象外	不要	
165	＋α	表面利回り マンション	N/A	30	記事	Know（不動産投資の利回りを知りたい）	解説記事	不動産投資	表面利回り_不動産投資	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
166	＋α	表面利回り 満室想定	N/A	0	削除			検索なし			対象外	不要	
167	＋α	表面利回り 満室	N/A	0	削除			検索なし			対象外	不要	
168	＋α	マンション投資 表面利回り	53	10	記事	Know（不動産投資の利回りを知りたい）	解説記事	不動産投資	表面利回り_不動産投資	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
169	＋α	マンション 表面利回り 計算	N/A	0	削除			検索なし			対象外	不要	
170	＋α	マンション 表面利回り 理想	N/A	0	削除			検索なし			対象外	不要	
171	＋α	マンション経営 表面利回り	N/A	10	記事	Know（不動産投資の利回りを知りたい）	解説記事	不動産投資	表面利回り_不動産投資	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
172	＋α	都心 マンション 表面利回り	N/A	0	削除			検索なし			対象外	不要	
173	＋α	東京 マンション 表面利回り	N/A	0	削除			検索なし			対象外	不要	
174	＋α	民泊 表面利回り	N/A	0	削除			検索なし			対象外	不要	
175	＋α	港区 表面利回り	N/A	0	削除			検索なし			対象外	不要	
176	＋α	表面利回り 求め方	N/A	0	削除			検索なし			対象外	不要	
177	＋α	木造アパート 表面利回り	N/A	0	削除			検索なし			対象外	不要	
178	＋α	家賃 表面利回り	N/A	0	削除			検索なし			対象外	不要	
179	＋α	家賃収入 表面利回り	N/A	0	削除			検索なし			対象外	不要	
180	＋α	表面利回り 読み方	N/A	10	削除			翻訳KW			対象外	不要	
181	＋α	表面利回り 良い	N/A	0	削除			検索なし			対象外	不要	
182	＋α	楽待 表面利回り	N/A	0	削除			検索なし			対象外	不要	
183	＋α	表面利回り 利回り	N/A	0	削除			検索なし			対象外	不要	
184	＋α	表面利回り 利回り 違い	N/A	0	削除			検索なし			対象外	不要	
185	＋α	表面利回り 略称	N/A	0	削除			検索なし			対象外	不要	
186	＋α	表面利回り 略語	N/A	0	削除			検索なし			対象外	不要	
187	＋α	noi 利回り 表面利回り	N/A	20	記事	Know（表面利回りの概要を知りたい）	解説記事	基礎解説	表面利回り_基礎解説	表面利回りの基礎知識まとめ	権威構築	必須	ピラーページ
188	＋α	リノシー 表面利回り	N/A	0	削除			検索なし			対象外	不要	
189	＋α	表面利回り ワンルーム	N/A	0	削除			検索なし			対象外	不要	
190	＋α	表面利回り わかりやすく	N/A	0	削除			検索なし			対象外	不要	
191	＋α	ワンルームマンション 表面利回り	N/A	10	記事	Know（不動産投資の利回りを知りたい）	解説記事	不動産投資	表面利回り_不動産投資	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
192	＋α	ワンルームマンション投資 表面利回り	28	10	記事	Know（不動産投資の利回りを知りたい）	解説記事	不動産投資	表面利回り_不動産投資	表面利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
193	＋α	ワンルーム投資 表面利回り	43	0	削除			検索なし			対象外	不要	
194	＋α	表面利回り 逆算	N/A	0	削除			検索なし			対象外	不要	
195	＋α	表面利回り グロス利回り	N/A	0	削除			検索なし			対象外	不要	
196	＋α	表面利回り グロス	N/A	10	記事	Know（表面利回りの概要を知りたい）	解説記事	基礎解説	表面利回り_基礎解説	表面利回りの基礎知識まとめ	権威構築	必須	ピラーページ
197	＋α	表面利回り 現行利回り	N/A	0	削除			検索なし			対象外	不要	
198	＋α	現況利回り 表面利回り	N/A	0	削除			検索なし			対象外	不要	
199	＋α	表面利回り 税込	N/A	0	削除			検索なし			対象外	不要	
200	＋α	表面利回り 税金	N/A	0	削除			検索なし			対象外	不要	
201	＋α	表面利回り 出し方	N/A	0	削除			検索なし			対象外	不要	
202	＋α	大東建託 表面利回り	N/A	0	削除			検索なし			対象外	不要	
203	＋α	表面利回り どれくらい	N/A	0	削除			検索なし			対象外	不要	
204	＋α	表面利回り 物件価格	N/A	0	削除			検索なし			対象外	不要	
205	＋α	物件 表面利回り	N/A	0	削除			検索なし			対象外	不要	
206	＋α	分譲マンション 表面利回り	N/A	0	削除			検索なし			対象外	不要	
207	＋α	表面利回り 別名	N/A	0	削除			検索なし			対象外	不要	
208	＋α	表面利回り 何 パーセント	N/A	0	削除			検索なし			対象外	不要	
209	＋α	fp2級 表面利回り	N/A	0	削除			検索なし			対象外	不要	
210	＋α	表面利回り g	N/A	0	削除			検索なし			対象外	不要	
