No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	解決ニーズ	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
11	＋	仲介手数料 安い 不動産	25	1900	記事	Buy（安い不動産会社を見つけたい）	安い不動産会社を見つけたい	値引き・節約	比較・解説	比較記事	安い不動産会社	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
12	＋	仲介手数料 800万円以下	25	720	記事	Know（金額別の仲介手数料を知りたい）	物件価格800万円以下の場合の仲介手数料を計算したい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
13	＋	仲介手数料 消費税	24	880	記事	Know（消費税がかかるか確認したい）	仲介手数料にかかる消費税の扱いを知りたい	税金	解説	解説記事	消費税解説	仲介手数料_消費税解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	補足	解説記事
14	＋＋	仲介手数料 相場 賃貸	25	1300	記事	Know（いくら払うのか相場を知りたい）	賃貸物件の仲介手数料がいくらか知りたい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
15	＋＋	仲介手数料 相場 売買	31	260	記事	Know（いくら払うのか相場を知りたい）	不動産売買の仲介手数料の相場を知りたい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	必須	解説記事
16	＋＋	仲介手数料 相場 土地	27	260	記事	Know（いくら払うのか相場を知りたい）	土地売買の仲介手数料を知りたい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	必須	解説記事
17	＋＋	仲介手数料 相場 中古マンション	34	140	記事	Know（いくら払うのか相場を知りたい）	マンション売買の仲介手数料を知りたい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	必須	解説記事
18	＋＋	仲介手数料 相場 中古住宅	46	110	記事	Know（いくら払うのか相場を知りたい）	中古住宅の仲介手数料がいくらか知りたい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	必須	解説記事
19	＋＋	仲介手数料 相場 不動産	N/A	0	削除				解説		検索なし			対象外	不要	
20	＋＋	仲介手数料 相場 戸建て	36	140	記事	Know（いくら払うのか相場を知りたい）	戸建て売買の仲介手数料を知りたい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	必須	解説記事
21	＋＋	仲介手数料 相場 アパート	43	10	削除	Know（いくら払うのか相場を知りたい）	アパート賃貸の仲介手数料の相場を知りたい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	必須	解説記事
22	＋＋	仲介手数料 相場 マンション	N/A	0	削除				解説		検索なし			対象外	不要	
23	＋＋	仲介手数料 交渉の仕方	37	90	記事	Do（手数料を値引き交渉したい）	手数料を値引き交渉したい	値引き・節約	ハウツー	ハウツー記事	交渉ガイド	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
24	＋＋	仲介手数料 交渉 言い方	35	140	記事	Do（手数料を値引き交渉したい）	手数料を値引き交渉したい	値引き・節約	ハウツー	ハウツー記事	交渉ガイド	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
25	＋＋	仲介手数料 交渉 賃貸	46	40	削除	Do（手数料を値引き交渉したい）	賃貸物件の仲介手数料がいくらか知りたい	賃貸	ハウツー	ハウツー記事	交渉ガイド	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
26	＋＋	仲介手数料 交渉 タイミング	N/A	70	記事	Do（手数料を値引き交渉したい）	手数料を値引き交渉したい	値引き・節約	ハウツー	ハウツー記事	交渉ガイド	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
27	＋＋	仲介手数料 交渉 売買	46	30	削除	Do（手数料を値引き交渉したい）	手数料を値引き交渉したい	値引き・節約	ハウツー	ハウツー記事	交渉ガイド	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
28	＋＋	仲介手数料 交渉できる	46	0	削除				解説		検索なし			対象外	不要	
29	＋＋	仲介手数料 交渉 中古マンション	N/A	10	削除	Do（手数料を値引き交渉したい）	マンション売買の仲介手数料を知りたい	住宅タイプ別	ハウツー	ハウツー記事	交渉ガイド	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	補足	解説記事
30	＋＋	仲介手数料 交渉 例文	34	210	記事	Do（手数料を値引き交渉したい）	手数料を値引き交渉したい	値引き・節約	ハウツー	ハウツー記事	交渉ガイド	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
31	＋＋	仲介手数料 交渉 戸建て	28	10	削除	Do（手数料を値引き交渉したい）	戸建て売買の仲介手数料を知りたい	住宅タイプ別	ハウツー	ハウツー記事	交渉ガイド	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	補足	解説記事
32	＋＋	仲介手数料 計算式	N/A	210	計算ページ	Do（正確な金額を計算したい）	正確な金額を計算したい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
33	＋＋	仲介手数料 計算方法	26	260	計算ページ	Do（正確な金額を計算したい）	仲介手数料の正しい計算方法を知りたい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
34	＋＋	仲介手数料 計算 シミュレーション	29	260	計算ページ	Do（正確な金額を計算したい）	仲介手数料のシミュレーションをしたい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
35	＋＋	仲介手数料 計算 賃貸	26	260	計算ページ	Do（正確な金額を計算したい）	賃貸物件の仲介手数料がいくらか知りたい	賃貸	実務ガイド	計算ツール		仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	ツール集客	補足	解説記事
36	＋＋	仲介手数料 計算 消費税	25	70	計算ページ	Do（正確な金額を計算したい）	仲介手数料にかかる消費税の扱いを知りたい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
37	＋＋	仲介手数料 計算 不動産	30	1900	計算ページ	Do（正確な金額を計算したい）	正確な金額を計算したい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
38	＋＋	仲介手数料 計算 売買	47	30	削除	Do（正確な金額を計算したい）	正確な金額を計算したい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
39	＋＋	仲介手数料 計算 土地	44	20	削除	Do（正確な金額を計算したい）	土地売買の仲介手数料を知りたい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
40	＋＋	仲介手数料 計算式 エクセル	21	20	削除	Do（正確な金額を計算したい）	仲介手数料をエクセルで計算したい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
41	＋＋	仲介手数料無料 不動産	26	1300	記事	Know（無料の不動産会社を探したい）	仲介手数料無料の不動産会社を探したい	値引き・節約	比較・解説	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
42	＋＋	仲介手数料無料 賃貸	22	1900	記事	Know（無料の不動産会社を探したい）	仲介手数料無料の賃貸物件を探したい	値引き・節約	比較・解説	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
43	＋＋	仲介手数料無料 なぜ	34	480	記事	Know（無料の裏側・デメリットが不安）	仲介手数料が無料にできる理由を知りたい	値引き・節約	ハウツー	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
44	＋＋	仲介手数料無料 不動産屋	24	390	記事	Know（無料の不動産会社を探したい）	仲介手数料無料の不動産会社を探したい	値引き・節約	比較・解説	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
45	＋＋	仲介手数料無料 大阪	22	590	削除				解説		地域KW			対象外	不要	
46	＋＋	仲介手数料無料 福岡	34	320	削除				解説		地域KW			対象外	不要	
47	＋＋	仲介手数料無料 デメリット	34	480	記事	Know（無料の裏側・デメリットが不安）	仲介手数料を払うメリット・払わない場合のリスクを知りたい	値引き・節約	ハウツー	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
48	＋＋	仲介手数料無料 札幌	34	210	削除				解説		地域KW			対象外	不要	
49	＋＋	仲介手数料無料 中古マンション	34	720	記事	Know（無料の不動産会社を探したい）	仲介手数料無料の中古物件を探したい	値引き・節約	比較・解説	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
50	＋＋	仲介手数料 不動産 相場	29	2900	記事	Know（いくら払うのか相場を知りたい）	仲介手数料の一般的な相場金額を知りたい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	必須	解説記事
51	＋＋	仲介手数料 不動産 賃貸	27	1600	記事	Know（賃貸の手数料ルールを知りたい）	賃貸物件の仲介手数料がいくらか知りたい	賃貸	解説	ガイド記事	賃貸特化	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
52	＋＋	仲介手数料 不動産 安い	29	1900	記事	Buy（安い不動産会社を見つけたい）	安い不動産会社を見つけたい	値引き・節約	比較・解説	比較記事	安い不動産会社	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
53	＋＋	仲介手数料 不動産売買	31	3600	記事	Know（不動産取引の手数料を知りたい）	不動産売買の仲介手数料を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
54	＋＋	仲介手数料 不動産 計算	26	1900	計算ページ	Do（正確な金額を計算したい）	自分の物件の仲介手数料を正確に計算したい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
55	＋＋	仲介手数料 不動産 上限	46	40	削除	Know（法律上の上限ルールを確認したい）	仲介手数料の法定上限額を確認したい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
56	＋＋	仲介手数料 不動産 消費税	34	260	記事	Know（消費税がかかるか確認したい）	仲介手数料にかかる消費税の扱いを知りたい	税金	解説	解説記事	消費税解説	仲介手数料_消費税解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	補足	解説記事
57	＋＋	仲介手数料 不動産屋	30	880	記事	Know（不動産取引の手数料を知りたい）	不動産売買の仲介手数料を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
58	＋＋	仲介手数料 不動産 交渉	N/A	10	削除	Do（手数料を値引き交渉したい）	仲介手数料の交渉方法・成功するコツを知りたい	値引き・節約	ハウツー	ハウツー記事	交渉ガイド	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
59	＋＋	仲介手数料とは 賃貸	35	5400	記事	Know（賃貸の手数料ルールを知りたい）	賃貸物件の仲介手数料がいくらか知りたい	賃貸	解説	ガイド記事	賃貸特化	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
60	＋＋	仲介手数料とは 簡単に	46	50	削除	Know（仲介手数料の仕組みを理解したい）	仲介手数料の仕組みをわかりやすく理解したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
61	＋＋	仲介手数料とは 不動産	47	30	削除	Know（仲介手数料の仕組みを理解したい）	不動産取引における仲介手数料の仕組みを理解したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
62	＋＋	仲介手数料とは 相場	48	10	削除	Know（いくら払うのか相場を知りたい）	仲介手数料の一般的な相場金額を知りたい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	必須	解説記事
63	＋＋	仲介手数料 勘定科目 20万円以上	29	110	削除	Do（仕訳・勘定科目を調べたい）	仲介手数料の正しい勘定科目を知りたい	会計処理	実務ガイド	解説記事	会計処理	仲介手数料_会計処理	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	補足	解説記事
64	＋＋	仲介手数料 勘定科目 法人	33	40	削除	Do（仕訳・勘定科目を調べたい）	仲介手数料の正しい勘定科目を知りたい	会計処理	実務ガイド	解説記事	会計処理	仲介手数料_会計処理	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	補足	解説記事
65	＋＋	仲介手数料 勘定科目 個人事業主	59	70	削除	Do（仕訳・勘定科目を調べたい）	仲介手数料の正しい勘定科目を知りたい	会計処理	実務ガイド	解説記事	会計処理	仲介手数料_会計処理	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	補足	解説記事
66	＋＋	仲介手数料 勘定科目 賃貸	N/A	20	削除	Know（賃貸の手数料ルールを知りたい）	賃貸物件の仲介手数料がいくらか知りたい	賃貸	解説	ガイド記事	賃貸特化	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
67	＋＋	仲介手数料 勘定科目 消費税	50	30	削除	Do（仕訳・勘定科目を調べたい）	仲介手数料の正しい勘定科目を知りたい	会計処理	実務ガイド	解説記事	会計処理	仲介手数料_会計処理	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	補足	解説記事
68	＋＋	仲介手数料 勘定科目 不動産	33	0	削除				解説		検索なし			対象外	不要	
69	＋＋	仲介手数料 勘定科目 駐車場	N/A	0	削除				解説		検索なし			対象外	不要	
70	＋＋	仲介手数料 上限 賃貸	25	1600	記事	Know（法律上の上限ルールを確認したい）	賃貸物件の仲介手数料がいくらか知りたい	賃貸	解説	解説記事	法律・規制	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
71	＋＋	仲介手数料 上限 売買	46	40	削除	Know（法律上の上限ルールを確認したい）	法律上の上限ルールを確認したい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
72	＋＋	仲介手数料 上限 法律	N/A	50	削除	Know（法律上の上限ルールを確認したい）	法律上の上限ルールを確認したい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
73	＋＋	仲介手数料 上限引き上げ	44	40	削除	Know（法律上の上限ルールを確認したい）	法律上の上限ルールを確認したい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
74	＋＋	仲介手数料 上限 計算	N/A	10	削除	Do（正確な金額を計算したい）	自分の物件の仲介手数料を正確に計算したい	法律・制度	実務ガイド	計算ツール		仲介手数料上限	仲介手数料 計算ツール	ツール集客	必須	計算ツール
75	＋＋	仲介手数料 上限 消費税	N/A	0	削除				解説		検索なし			対象外	不要	
76	＋＋	仲介手数料 上限以上	N/A	10	削除	Know（法律上の上限ルールを確認したい）	法律上の上限ルールを確認したい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
77	＋＋	仲介手数料 上限 両手	41	0	削除				解説		検索なし			対象外	不要	
78	＋＋	仲介手数料 上限 共益費	N/A	0	削除				解説		検索なし			対象外	不要	
79	＋＋	仲介手数料 賃貸 上限	25	1300	記事	Know（法律上の上限ルールを確認したい）	賃貸の仲介手数料の法定上限を知りたい	賃貸	解説	解説記事	法律・規制	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
80	＋＋	仲介手数料 賃貸 相場	36	1300	記事	Know（いくら払うのか相場を知りたい）	賃貸の仲介手数料の相場を知りたい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
81	＋＋	仲介手数料 賃貸 交渉	37	480	記事	Do（手数料を値引き交渉したい）	仲介手数料の交渉方法・成功するコツを知りたい	賃貸	ハウツー	ハウツー記事	交渉ガイド	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
82	＋＋	仲介手数料 賃貸 無料	23	1900	記事	Know（無料の不動産会社を探したい）	仲介手数料が無料の不動産会社の仕組みを知りたい	値引き・節約	比較・解説	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
83	＋＋	仲介手数料 賃貸 安い	37	210	記事	Know（賃貸の手数料ルールを知りたい）	賃貸の手数料ルールを知りたい	値引き・節約	解説	ガイド記事	賃貸特化	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
84	＋＋	仲介手数料 賃貸 法律	30	50	削除	Know（法律上の上限ルールを確認したい）	法律上の上限ルールを確認したい	賃貸	解説	解説記事	法律・規制	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
85	＋＋	仲介手数料 賃貸 いくら	N/A	30	削除	Know（いくら払うのか相場を知りたい）	仲介手数料の相場金額を確認したい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
86	＋＋	仲介手数料 賃貸 計算	25	260	計算ページ	Do（正確な金額を計算したい）	賃貸の仲介手数料を計算したい	賃貸	実務ガイド	計算ツール		仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	ツール集客	補足	解説記事
87	＋＋	仲介手数料 賃貸 勘定科目	N/A	0	削除				解説		検索なし			対象外	不要	
88	＋＋	仲介手数料 安い 不動産 賃貸	35	110	記事	Know（賃貸の手数料ルールを知りたい）	賃貸物件の仲介手数料がいくらか知りたい	値引き・節約	解説	ガイド記事	賃貸特化	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
89	＋＋	仲介手数料 安い 不動産屋	35	210	記事	Buy（安い不動産会社を見つけたい）	安い不動産会社を見つけたい	値引き・節約	比較・解説	比較記事	安い不動産会社	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
90	＋＋	仲介手数料 安い 不動産 大阪	27	30	削除				解説		地域KW			対象外	不要	
91	＋＋	仲介手数料 安い 不動産 東京	41	70	削除				解説		地域KW			対象外	不要	
92	＋＋	仲介手数料 安い 不動産 福岡	17	30	削除				解説		地域KW			対象外	不要	
93	＋＋	仲介手数料 安い 不動産 購入	28	30	削除	Buy（安い不動産会社を見つけたい）	不動産購入時の仲介手数料を知りたい	値引き・節約	比較・解説	比較記事	安い不動産会社	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
94	＋＋	仲介手数料 800万円以下 改正	24	210	記事	Know（仲介手数料の改正内容を知りたい）	仲介手数料の法改正の内容を知りたい	法律・制度	解説	解説記事	法改正	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
95	＋＋	仲介手数料 800万円以下 土地	N/A	0	削除				解説		検索なし			対象外	不要	
96	＋＋	仲介手数料 800万円以下 改正 土地	44	0	削除				解説		検索なし			対象外	不要	
97	＋＋	仲介手数料 800万円以下 改正 いつから	43	70	記事	Know（仲介手数料の時期を知りたい）	仲介手数料の法改正の内容を知りたい	時期・スケジュール	解説	ガイド記事	時期・スケジュール	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
98	＋＋	仲介手数料 800万円以下 改正 国土交通省	34	90	記事	Know（仲介手数料の改正内容を知りたい）	国交省が定める仲介手数料の基準を確認したい	法律・制度	解説	解説記事	法改正	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
99	＋＋	仲介手数料 消費税かかる	28	50	削除	Know（消費税がかかるか確認したい）	仲介手数料に消費税がかかるか確認したい	税金	解説	解説記事	消費税解説	仲介手数料_消費税解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	補足	解説記事
100	＋＋	仲介手数料 消費税 なぜ	N/A	0	削除				解説		検索なし			対象外	不要	
101	＋＋	仲介手数料 消費税 個別対応	N/A	0	削除				解説		検索なし			対象外	不要	
102	＋＋	仲介手数料 消費税 計算	29	70	計算ページ	Do（正確な金額を計算したい）	仲介手数料の消費税込みの金額を計算したい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
103	＋＋	仲介手数料 消費税 土地	35	210	記事	Know（消費税がかかるか確認したい）	土地売買の仲介手数料を知りたい	税金	解説	解説記事	消費税解説	仲介手数料_消費税解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	補足	解説記事
104	＋＋	仲介手数料 消費税 建物	N/A	0	削除				解説		検索なし			対象外	不要	
105	＋＋	仲介手数料 消費税区分	28	10	削除	Know（消費税がかかるか確認したい）	仲介手数料にかかる消費税の扱いを知りたい	税金	解説	解説記事	消費税解説	仲介手数料_消費税解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	補足	解説記事
106	＋＋	仲介手数料 消費税 土地建物	N/A	0	削除				解説		検索なし			対象外	不要	
107	＋＋	仲介手数料 消費税 簡易課税	N/A	0	削除				解説		検索なし			対象外	不要	
108	＋α	仲介手数料 0.5ヶ月	28	210	記事	Know（期間別の仲介手数料を知りたい）	仲介手数料0.5ヶ月分の法的根拠を知りたい	時期・スケジュール	解説	ガイド記事	期間別	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
109	＋α	仲介手数料 0.55ヶ月	25	140	記事	Know（期間別の仲介手数料を知りたい）	仲介手数料0.55ヶ月分（半額）の根拠を知りたい	時期・スケジュール	解説	ガイド記事	期間別	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
110	＋α	仲介手数料 0円	34	170	記事	Know（仲介手数料がゼロ・不要のケースを知りたい）	仲介手数料ゼロ円の物件・会社を探したい	控除・特例	解説	解説記事	非課税・ゼロ	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
111	＋α	仲介手数料 0.55ヶ月 法律	41	20	削除	Know（法律上の上限ルールを確認したい）	仲介手数料0.55ヶ月分（半額）の根拠を知りたい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
