No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
28	＋＋	不動産投資 利回り 10	25	50	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
29	＋＋	不動産投資 利回り 目安	48	30	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
30	＋＋	不動産投資ローン おすすめ	32	260	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
31	＋＋	不動産投資ローン 借り換え	47	320	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
32	＋＋	不動産投資ローン金利 比較	33	210	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
33	＋＋	不動産投資ローン金利ランキング	33	1900	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
34	＋＋	不動産投資ローン 金利 sbi	N/A	70	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
35	＋＋	不動産投資ローン 銀行	33	140	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
36	＋＋	不動産投資ローンとは	N/A	70	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
37	＋＋	不動産投資ローン 個人	79	50	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
38	＋＋	不動産投資 節税 なぜ	29	210	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
39	＋＋	不動産投資 節税 シュミレーション	30	320	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
40	＋＋	不動産投資 節税 嘘	37	260	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
41	＋＋	不動産投資 節税 サラリーマン	41	320	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
42	＋＋	不動産投資 節税効果	33	50	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
43	＋＋	不動産投資 節税 減価償却	32	90	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
44	＋＋	不動産投資 節税 年収	32	30	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
45	＋＋	不動産投資 節税対策	46	40	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
46	＋＋	不動産投資 節税効果 シミュレーション	32	20	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
47	＋＋	不動産投資 リスクしかない	N/A	70	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
48	＋＋	不動産投資 リスク リターン	46	20	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
49	＋＋	不動産投資 リスクヘッジ	27	20	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
50	＋＋	不動産投資 リスク高い	31	10	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
51	＋＋	不動産投資 リスク一覧	33	30	記事	Know（リスク・デメリットを知りたい）	税金	解説	解説記事	リスク	不動産投資税率		権威構築	補足
52	＋＋	不動産投資 リスク 低い	30	20	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
53	＋＋	不動産投資 やめとけ なんj	28	50	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
54	＋＋	不動産投資 やめとけ 知恵袋	42	10	削除			解説		QAサイト			対象外	不要
55	＋＋	不動産投資 やめとけ 2ch	24	170	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
56	＋＋	不動産投資 初心者 本	36	70	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
57	＋＋	不動産投資 初心者 ブログ	27	40	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
58	＋＋	不動産投資 初心者 おすすめ物件	30	70	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
59	＋＋	不動産投資 初心者 おすすめ	33	30	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
60	＋＋	不動産投資 初心者 勉強	28	10	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
61	＋＋	不動産投資 初心者 失敗	27	50	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
62	＋＋	不動産投資 初心者 少額	31	50	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
63	＋＋	不動産投資 初心者 始め方	33	40	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
64	＋＋	不動産投資 初心者 おすすめ 本	26	10	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
65	＋＋	不動産投資信託とは	33	320	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
66	＋＋	不動産投資信託(reit)	84	0	削除			解説		検索なし			対象外	不要
67	＋＋	不動産投資信託 おすすめ	47	90	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
68	＋＋	不動産投資信託証券	33	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
69	＋＋	不動産投資信託 nisa	N/A	110	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
70	＋＋	不動産投資信託 リート	N/A	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
71	＋＋	不動産投資信託 利回り	N/A	50	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
72	＋＋	不動産投資信託 デメリット	N/A	50	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
73	＋＋	不動産投資信託及び不動産投資法人に関する規則	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
74	＋＋	不動産投資ローン 金利 ランキング	33	1900	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
75	＋＋	不動産投資ローン 金利 比較	33	210	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
76	＋＋	不動産投資ローン 金利 推移	33	110	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
77	＋＋	不動産投資ローン 金利 今後	33	70	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
78	＋＋	不動産投資ローン 金利 相場	33	170	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
79	＋＋	不動産投資ローン 金利 平均	N/A	0	削除			解説		検索なし			対象外	不要
80	＋＋	不動産投資ローン 金利上昇	47	20	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
81	＋＋	不動産投資ローン 金利 低い	N/A	0	削除			解説		検索なし			対象外	不要
82	＋＋	不動産投資 失敗率	44	210	記事	Know（リスク・デメリットを知りたい）	税金	解説	解説記事	リスク	不動産投資税率		権威構築	補足
83	＋＋	不動産投資 失敗 ブログ	29	170	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
84	＋＋	不動産投資 失敗 なんj	41	50	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
85	＋＋	不動産投資 失敗例	29	90	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
86	＋＋	不動産投資 失敗談	27	20	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
87	＋＋	不動産投資 失敗の法則	N/A	30	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
88	＋＋	不動産投資 失敗しない	47	20	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
89	＋＋	不動産投資 失敗 2ch	28	70	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
90	＋＋	不動産投資 失敗 芸能人	7	20	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
91	＋＋	不動産投資 ローン 金利	33	1000	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
92	＋＋	不動産投資 ローン シミュレーション	33	590	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
93	＋＋	不動産投資 ローン 審査	32	90	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
94	＋＋	不動産投資 ローン 借り換え	47	320	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
95	＋＋	不動産投資 ローン 金利 相場	33	170	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
96	＋＋	不動産投資 ローンなし	28	20	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
97	＋＋	不動産投資 ローン 銀行	33	140	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
98	＋＋	不動産投資 ローン いくらまで	31	70	記事	Know（不動産投資ローンを知りたい）	計算方法	解説	解説記事	ローン	不動産投資計算	不動産投資の計算方法・シミュレーション	権威構築	必須	計算ツール
99	＋＋	不動産投資 ローン組めない	26	10	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
100	＋＋	不動産投資 本 おすすめ	37	260	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
101	＋＋	不動産投資 本 ランキング	27	140	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
102	＋＋	不動産投資 本 ベストセラー	45	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
103	＋＋	不動産投資 本 初心者	34	70	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
104	＋＋	不動産投資 本 両学長	27	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
105	＋＋	不動産投資 本 人気	48	10	記事	Buy（不動産投資関連のサービスを選びたい）	比較・検討	比較・解説	比較記事	おすすめ・比較	不動産投資_おすすめ・比較		権威構築	補足
106	＋＋	不動産投資 本 名著	24	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
107	＋＋	不動産投資 本当に儲かるのか	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
108	＋＋	不動産投資 本 100冊	N/A	0	削除			解説		検索なし			対象外	不要
109	＋＋	不動産投資 確定申告 自分で	33	90	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資申告		権威構築	補足
110	＋＋	不動産投資 確定申告 経費	41	70	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資申告		権威構築	補足
111	＋＋	不動産投資 確定申告 やり方	43	90	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資申告		権威構築	補足
112	＋＋	不動産投資 確定申告 必要書類	43	40	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資申告		権威構築	補足
113	＋＋	不動産投資 確定申告 還付金 いくら	33	90	記事	Know（不動産投資の税金を知りたい）	計算方法	解説	解説記事	税金・節税	不動産投資計算	不動産投資の計算方法・シミュレーション	権威構築	必須	計算ツール
114	＋＋	不動産投資 確定申告 初年度	31	40	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資申告		権威構築	補足
115	＋＋	不動産投資 確定申告 e-tax	33	20	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資申告		権威構築	補足
116	＋＋	不動産投資 確定申告 雑費	27	20	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資申告		権威構築	補足
117	＋＋	不動産投資 確定申告 本	N/A	10	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資申告		権威構築	補足
118	＋＋	不動産投資 おすすめ 本	27	260	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
119	＋＋	不動産投資 おすすめ会社	52	210	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
120	＋＋	不動産投資 おすすめ 地域	44	30	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
121	＋＋	不動産投資 おすすめしない	32	70	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
122	＋＋	不動産投資 おすすめ物件	31	20	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
123	＋＋	不動産投資 おすすめサイト	33	20	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
124	＋＋	不動産投資 おすすめ資格	51	0	削除			解説		検索なし			対象外	不要
125	＋α	不動産投資 0円	26	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
126	＋α	不動産投資 0から	N/A	0	削除			解説		検索なし			対象外	不要
127	＋α	不動産投資 070	N/A	0	削除			解説		検索なし			対象外	不要
128	＋α	不動産投資 自己資金1 000万	32	110	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
129	＋α	不動産投資 1 000万円	41	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
130	＋α	不動産投資 自己資金3 000万	43	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
131	＋α	不動産投資 自己資金5 000万	27	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
132	＋α	不動産投資 自己資金2 000万	48	0	削除			解説		検索なし			対象外	不要
133	＋α	不動産投資 年収2 000万	31	20	記事	Know（年収別の投資戦略を知りたい）	その他	解説	ガイド記事	年収別	不動産投資_年収別		権威構築	補足
134	＋α	0円から 不動産投資	29	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
135	＋α	不動産投資 1000万円	41	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
136	＋α	不動産投資 1万円から	33	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
137	＋α	不動産投資 100万	29	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
138	＋α	不動産投資 1棟アパート	44	20	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
139	＋α	不動産投資 1棟買い	27	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
140	＋α	不動産投資 1棟	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
141	＋α	不動産投資 100万円	31	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
142	＋α	不動産投資 1棟目	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
143	＋α	不動産投資 1億	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
144	＋α	不動産投資 1k	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
145	＋α	不動産投資 20代	32	210	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
146	＋α	不動産投資 200万	42	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
147	＋α	不動産投資 2026	N/A	0	削除			解説		検索なし			対象外	不要
